Win/Loss,Player1 name,Player1 champ name,Player1 overall wr,Player1 total games,Player1 champ games,Player1 champ wr,Player1 kda,Player1 cs,Player1 mastery,Player2 name,Player2 champ name,Player2 overall wr,Player2 total games,Player2 champ games,Player2 champ wr,Player2 kda,Player2 cs,Player2 mastery,Player3 name,Player3 champ name,Player3 overall wr,Player3 total games,Player3 champ games,Player3 champ wr,Player3 kda,Player3 cs,Player3 mastery,Player4 name,Player4 champ name,Player4 overall wr,Player4 total games,Player4 champ games,Player4 champ wr,Player4 kda,Player4 cs,Player4 mastery,Player5 name,Player5 champ name,Player5 overall wr,Player5 total games,Player5 champ games,Player5 champ wr,Player5 kda,Player5 cs,Player5 mastery,Player6 name,Player6 champ name,Player6 overall wr,Player6 total games,Player6 champ games,Player6 champ wr,Player6 kda,Player6 cs,Player6 mastery,Player7 name,Player7 champ name,Player7 overall wr,Player7 total games,Player7 champ games,Player7 champ wr,Player7 kda,Player7 cs,Player7 mastery,Player8 name,Player8 champ name,Player8 overall wr,Player8 total games,Player8 champ games,Player8 champ wr,Player8 kda,Player8 cs,Player8 mastery,Player9 name,Player9 champ name,Player9 overall wr,Player9 total games,Player9 champ games,Player9 champ wr,Player9 kda,Player9 cs,Player9 mastery,Player10 name,Player10 champ name,Player10 overall wr,Player10 total games,Player10 champ games,Player10 champ wr,Player10 kda,Player10 cs,Player10 mastery
win,Repost,rengar,None,None,None,None,None,0,ng,erudh,gwen,None,None,None,None,None,0,ng,snayre0,bard,51,196,2,50,3.171.5,11.5,ng,GhostlyPuddle,ivern,None,None,None,None,None,0,ng,Deox,ashe,None,None,None,None,None,0,ng,astrıd,jax,None,None,None,None,None,0,ng,Pawatapus,diana,53,59,8,50,2.024.0,172.5,ng,TurnBased,karma,52,84,1,100,3.002.0,37,ng,K O B Y D U N K ,samira,55,22,1,100,5.0013.0,250,ng,Danger NoodIe,thresh,63,16,1,0,2.756.0,42,ng
win,Dubba,renekton,53,270,8,13,1.231.8,176.1,ng,WrongSideOfCoin,taliyah,52,483,249,57,3.367.2,198.5,ng,EASYROLEXD123,irelia,64,11,2,50,1.629.0,177,ng,qwpoiuieoipqwej,draven,52,117,59,54,2.4110.8,183.4,ng,aadd04,thresh,49,348,37,65,2.231.8,34.7,ng,Aeyris,mordekaiser,56,43,10,60,2.425.9,187.9,ng,XiaoDanny,jarvaniv,57,136,2,0,3.547.5,193,ng,ßoosted AnIMAL,syndra,66,115,10,70,3.846.3,208.6,ng,Dispel,aphelios,52,349,31,58,2.456.5,187.2,ng,CN30,rakan,58,208,32,44,4.021.8,37.6,ng
win,boeing 737,gnar,60,175,2,50,1.174.0,217,ng,Darwinator,teemo,40,106,1,100,2.337.0,223,ng,Seashocker11,veigar,52,275,15,60,2.477.8,176.7,ng,LOVE FOOLISH,ziggs,56,18,6,67,2.136.5,174,ng,Seorie,tristana,69,16,1,100,1.132.0,166,ng,KennyDaAsian1,mordekaiser,63,32,20,65,2.356.7,186.7,ng,KyotoKyrasagi,amumu,41,58,14,36,2.312.6,143.4,ng,Kunaivan,yasuo,65,17,5,40,2.6110.2,265,ng,HoLeePhok,lucian,45,31,4,50,2.377.0,183.3,ng,GraceMeows,nami,50,22,6,33,1.661.2,8,ng
win,Temedremair,warwick,None,None,None,None,None,0,ng,The Mstr Yi Arc,hecarim,72,81,62,73,3.4212.4,199.5,ng,aadurrr,orianna,51,892,25,44,2.276.0,202.6,ng,ayanon,xayah,55,268,18,56,2.405.3,207.4,ng,kyledog128,blitzcrank,53,218,115,56,2.431.9,28.1,ng,Dahyun Rosé Fan,gwen,57,118,1,0,3.759.0,194,ng,lmaqtpie,briar,59,110,41,66,2.7711.4,196.5,ng,SylasD,irelia,49,468,148,52,1.627.4,197.3,ng,Agrason,kaisa,72,53,18,78,4.1510.3,229.9,ng,Meisky,milio,57,110,45,60,6.230.9,9.6,ng
loss,nZkZero,aatrox,50,502,6,50,1.103.0,127.3,ng,TW Pimpimenta,shaco,53,445,336,58,2.6911.1,169.9,ng,Seupen,akali,59,76,7,43,2.8211.3,187.3,ng,Aiwe,aphelios,54,272,37,54,2.357.6,203.6,ng,Bitter,soraka,52,406,77,55,2.850.8,13.5,ng,Enanish enjoyer,ksante,53,232,31,55,2.675.6,176.4,ng,CyanKip,belveth,52,624,117,54,2.116.9,177.7,ng,dAHilda,syndra,56,115,69,62,2.496.3,200,ng,NTR your mom,twitch,57,205,187,56,2.288.7,180.7,ng,0o HealBot o0,nami,54,255,48,48,3.671.5,11.5,ng
loss,Frankles D B,aatrox,55,379,247,57,2.266.4,185.5,ng,ARAMaficionado,fiddlesticks,52,406,4,50,2.412.5,158.3,ng,ƒarzan,twistedfate,52,254,20,50,2.314.2,173.7,ng,mahal kita xo,varus,52,219,6,50,1.976.7,163.3,ng,stígma,thresh,71,51,1,0,6.000.0,31,ng,Love Over Bias,orianna,51,126,17,59,2.475.5,197.8,ng,delv rocket,graves,50,775,125,54,2.957.2,203.8,ng,Nam beo tu tien,yasuo,52,481,8,50,1.304.9,213.3,ng,whotouchedmybut,veigar,52,154,15,60,3.597.1,221.9,ng,Pizza The Cat,alistar,43,89,8,38,3.021.0,26.6,ng
win,Dielohn,jayce,51,372,11,46,1.505.1,200.9,ng,W1ndy,hecarim,60,42,28,68,4.889.0,209.1,ng,Da Bo Luo,cassiopeia,51,961,48,58,2.646.8,182.8,ng,Jsmlee,ziggs,55,121,16,63,2.736.1,207.8,ng,Yarg3,rell,64,56,27,63,3.891.5,28.6,ng,Dudebay,darius,47,144,63,43,1.975.0,196.8,ng,basalist,fiddlesticks,51,217,22,50,4.336.7,195.7,ng,Kassamir,vladimir,55,330,264,56,2.976.5,201.3,ng,GayForPay,sivir,49,179,12,50,2.669.3,235.9,ng,Obi Wan Gandalf,senna,52,326,117,57,2.944.7,32.7,ng
loss,kensade,fiora,55,85,4,25,1.004.5,213.8,ng,SteveKerrSon,jarvaniv,45,103,4,50,3.446.5,167,ng,E Mo Bo Gang,irelia,50,295,35,43,2.156.0,216.7,ng,DaisukiNoSanapri,ezreal,49,290,11,55,2.564.7,167.5,ng,Mïlkshake,seraphine,40,25,1,0,2.002.0,24,ng,THE BLUE NINJA,shen,49,798,788,50,2.454.3,128.8,ng,RichPaul420,lillia,51,640,413,55,2.956.0,182.2,ng,PoliteDeafPlayer,yone,54,148,22,55,1.546.2,200.5,ng,again xd,twitch,75,20,2,50,2.5712.0,220.5,ng,Kömpi,nautilus,56,52,25,72,3.192.4,34.8,ng
win,KingofBIackHole,darius,57,133,27,52,1.405.0,152.4,ng,ylwm,reksai,46,165,43,56,3.238.0,142.7,ng,love Lotus,sylas,46,308,60,62,2.817.1,129.7,ng,SeZeIch,samira,47,133,38,50,2.5814.1,207.9,ng,Tr0llinMe,rell,48,175,3,67,4.621.0,32.7,ng,Lastation,renekton,48,296,42,50,1.603.1,168.1,ng,Guai Guai Miao,jarvaniv,50,177,7,71,3.944.3,151.4,ng,ssjstepfather,orianna,56,43,26,65,4.034.3,196.7,ng,ChexDexLoLover,jhin,45,47,14,50,3.296.5,204.7,ng,mason margiela,soraka,50,568,16,44,2.650.6,7.1,ng
loss,Most Mechanical,varus,None,None,None,None,None,0,ng,NoBrainKayn,graves,53,364,4,50,4.3711.8,217.8,ng,XymethZeusGer,fizz,64,166,98,66,3.5911.0,184.9,ng,Buy Me Some RP,sivir,None,None,None,None,None,0,ng,lunalyn,karma,52,456,25,52,4.342.1,15.4,ng,A Trolling Noob,garen,59,75,5,60,2.506.6,214.4,ng,Bestify,shaco,56,82,1,100,1.004.0,262,ng,tFart,sylas,100,18,4,100,5.4014.5,179.3,ng,T1 sid,tristana,None,None,None,None,None,0,ng,DodgyFella,zac,52,408,33,49,2.063.0,36.5,ng
