Win.Loss,Player1.name,Player1.champ.name,Player1.overall.wr,Player1.total.games,Player1.champ.games,Player1.champ.wr,Player1.cs,Player1.mastery,Player2.name,Player2.champ.name,Player2.overall.wr,Player2.total.games,Player2.champ.games,Player2.champ.wr,Player2.cs,Player2.mastery,Player3.name,Player3.champ.name,Player3.overall.wr,Player3.total.games,Player3.champ.games,Player3.champ.wr,Player3.cs,Player3.mastery,Player4.name,Player4.champ.name,Player4.overall.wr,Player4.total.games,Player4.champ.games,Player4.champ.wr,Player4.cs,Player4.mastery,Player5.name,Player5.champ.name,Player5.overall.wr,Player5.total.games,Player5.champ.games,Player5.champ.wr,Player5.cs,Player5.mastery,Player6.name,Player6.champ.name,Player6.overall.wr,Player6.total.games,Player6.champ.games,Player6.champ.wr,Player6.cs,Player6.mastery,Player7.name,Player7.champ.name,Player7.overall.wr,Player7.total.games,Player7.champ.games,Player7.champ.wr,Player7.cs,Player7.mastery,Player8.name,Player8.champ.name,Player8.overall.wr,Player8.total.games,Player8.champ.games,Player8.champ.wr,Player8.cs,Player8.mastery,Player9.name,Player9.champ.name,Player9.overall.wr,Player9.total.games,Player9.champ.games,Player9.champ.wr,Player9.cs,Player9.mastery,Player10.name,Player10.champ.name,Player10.overall.wr,Player10.total.games,Player10.champ.games,Player10.champ.wr,Player10.cs,Player10.mastery,Player1.kda,Player2.kda,Player3.kda,Player4.kda,Player5.kda,Player6.kda,Player7.kda,Player8.kda,Player9.kda,Player10.kda
win,Stamps,rumble,49,349,10,60,185.6,0,weallbefoopin,jarvaniv,67,43,15,87,187.5,0,MadLauv,lux,48,177,94,59,48.7,0,Rodents,draven,52,240,3,67,223.3,0,Kokolover,senna,50,138,1,0,19,0,solo activator,fiora,50,1143,891,52,190.5,0,Hedy7Lamarr,udyr,49,131,113,50,146.6,0,Kimeowra,akali,51,196,1,0,171,0,Buckeyes1,ezreal,52,395,73,62,204.2,0,xPlainBagelx,rell,46,261,120,51,29.7,0,3.5061,4.8769,2.4052,3.1583,7.0030,1.5645,2.6452,1.5050,3.2071,2.8412
loss,N1ceJoB,jax,52,698,247,60,182.3,0,dnlasncdnciodn,leesin,58,112,61,69,146.8,0,PratGPT,viktor,50,651,30,53,183.8,0,Sealmo,ashe,50,363,93,57,168.7,0,sponsorlost,zyra,52,167,1,0,107,0,gym dolphin,riven,63,70,66,68,222.4,0,NegIect,kayn,57,159,3,67,244.7,0,DannyKs,akali,51,517,57,46,157,0,VTSAX,kalista,52,385,356,54,196.6,0,tamım,renata,52.77,265.88,0,54.01,0,0,1.8257,4.3790,2.1140,2.5152,2.3390,2.2972,3.27137,2.2869,1.8279,2.80
loss,Silly Choncc,belveth,49,107,1,0,196,0,Ryan Red Sword,jarvaniv,47,150,1,0,183,0,Agresa,ahri,57,141,3,0,172,0,Mikey Stackems,lucian,57,123,2,0,139.5,0,Albeela,soraka,42,77,14,50,14.2,0,ItsSeiun,kayle,65,26,8,88,232.1,0,Gilgamesh Izduba,taliyah,73,11,1,0,71,0,Personaldemon,jayce,53,167,10,50,165,0,sumito,jhin,48,85,2,50,168,0,Divine Hour,swain,56,52,6,67,30.5,0,1.2570,2.5010,2.9367,0.6220,2.8707,2.46114,0.8610,2.2974,2.64100,2.2833
loss,LP Grinch,illaoi,49,436,35,49,226.9,0,Happi Feet,diana,56,62,20,50,171.6,0,ShrimpFriedRice,ksante,61,31,4,50,167.3,0,El desgraciado,ezreal,53,237,13,31,191.3,0,zesty boywife,senna,49,385,22,59,35.2,0,Magnus,gwen,57,214,11,73,178.5,0,n5l6Z6h6U4,rengar,75,40,38,76,208.5,0,Megaicefenix,taliyah,55,338,13,46,237.4,0,JG Gap Huge,ashe,58,91,1,100,125,0,i die,zyra,54,688,428,55,41.3,0,0.8337,3.1582,3.8878,2.6580,3.1643,3.7761,2.89112,2.5982,4.5040,2.9034
win,Fujii,yone,54,56,36,64,203.6,0,Just1numb3r,leesin,49,1124,32,44,157.4,0,lian tong pi,akali,61,95,10,60,138.1,0,J G,varus,54,540,9,44,163,0,MightyPug,blitzcrank,53,197,147,55,31.6,0,mMai,fiora,54,70,1,0,89,0,Urlakut,belveth,51,83,8,50,132.5,0,Rooster,fizz,48,602,451,55,167,0,2084,vayne,52,317,20,65,188.2,0,Carry Hunterr,braum,56,171,6,50,27.5,0,1.3174,2.4453,2.0387,1.9049,2.8919,0.6010,1.9053,2.1986,2.8699,2.5108
loss,ZacheryZZTOP,yasuo,55,158,106,51,224,0,HanQLs Dad,rell,55,141,43,37,51.3,0,THOMASlTO,yuumi,54,138,1,0,7,0,IAdmiralPancake,varus,55,134,5,60,149.4,0,SoftTacos671,taric,66,65,7,57,42.3,0,SuperTOADzhao,aatrox,86,7,2,100,158.5,0,IG ShoesKing,xinzhao,41,74,3,33,152,0,Thrèè,akali,48,21,4,50,188.3,0,Cracirada,draven,54,13,4,50,203.5,0,WineHeart9,alistar,55,22,1,100,25,0,1.7168,2.3715,1.0020,2.48100,2.9633,3.00105,2.7280,2.5080,2.36105,9.0010
win,dec third,darius,50,242,168,53,196.1,0,Exclusives,rengar,52,496,190,59,183.2,0,gcvsvua,sylas,51,395,39,49,140.1,0,JlSYU,ashe,55,33,15,60,177.1,0,1080 Truong,blitzcrank,52,56,6,17,25.3,0,Grant Courville,mordekaiser,59,117,3,33,232.3,0,5219805721314238,kayn,58,101,2,0,167,0,CloudRiding,taliyah,48,427,22,64,207.8,0,LÓSERS QUEUE,caitlyn,49,208,5,20,189.4,0,Godisasupport ,soraka,58,219,63,64,10.4,0,2.4662,3.0084,2.0185,2.3573,2.0220,1.7177,2.50120,2.6673,2.0048,3.3412
loss,PoliteDeafPlayer,ekko,54,148,117,56,189.9,0,Maelstorm,rengar,47,106,15,53,159.6,0,Bloody VaIentine,zed,52,198,120,58,198.9,0,Tomatii,sivir,53,417,7,57,267.6,0,vnphamkt,brand,54,212,4,50,107.5,0,27 Orange County,riven,54,460,327,56,192.1,0,welplay EE,wukong,40,84,6,67,151.3,0,Qiyaqiyaqiyana,ahri,46,200,9,56,188.2,0,NavaBoss,varus,50,372,19,53,170.2,0,JingIiu,bard,52.77,265.88,0,54.01,0,0,2.4491,2.49104,3.4899,3.4976,1.3340,1.8954,2.9365,2.0759,2.4568,2.80
win,Kitty Katarina,fiora,50,82,76,58,201.8,0,meli13,vi,54,237,2,100,122,0,s0ggywaffls,zoe,51,110,496,53,145.7,0,cynical bachuss,ezreal,54,134,12,33,184.3,0,imptuo,karma,53,465,39,49,26.7,0,dog wauder ,riven,43,157,16,50,188.7,0,LoganDW,jax,48,168,2,0,110,0,Dazed Drone,twistedfate,52.77,265.88,0,54.01,0,0,Layers,jinx,49,563,94,51,201.8,0,Synthetic Surge,milio,51,270,7,71,9.9,0,1.6664,5.5055,4.8467,2.3153,2.5728,1.1852,1.2260,2.80,2.6750,5.7404
loss,Bonne Fête Kevin,sion,50,72,16,56,247.1,0,TangluoluoQwQ,kindred,50,215,68,56,174.2,0,KencSj,zed,60,180,1,0,121,0,bobostik,draven,49,477,264,49,184.8,0,Xeni,rakan,57,146,25,60,37.2,0,Drago2706,azir,50,56,53,51,187.5,0,Gwén is immune,wukong,53,74,2,100,172,0,Noobkiller291,talon,53,276,49,59,199.3,0,Syndra Botlane,syndra,64,47,39,64,190.1,0,Glomp Chu,karma,50,323,68,57,20.4,0,1.4869,2.3278,0.3840,1.8268,3.7814,1.7453,6.0075,2.5196,2.9574,3.4817
