Win.Loss,avg_ally_champ_wr,avg_ally_champ_games,avg_ally_total_games,avg_ally_overall_wr,avg_ally_cs,avg_ally_kda,avg_enemy_champ_wr,avg_enemy_champ_games,avg_enemy_total_games,avg_enemy_overall_wr,avg_enemy_cs,avg_enemy_kda
loss,33.4,5.8,122.0,51.8,155.14,1.8953900000000001,43.8,21.2,69.0,43.8,144.9,2.3882000000000003
win,79.2,6.2,55.0,56.6,161.01999999999998,2.93718,46.2,41.8,155.2,48.8,183.12000000000003,2.12588
loss,12.6,2.8,33.6,33.8,123.35999999999999,1.9239400000000004,58.0,47.2,146.6,46.6,132.82,2.5705400000000003
loss,49.4,29.2,53.8,49.212,156.82,2.9081540000000006,71.8,59.2,280.6,50.6,163.6,2.5479499999999997
loss,49.4,7.0,56.4,46.2,116.88,3.2736399999999994,68.6,14.4,49.4,57.2,174.94,2.83212
loss,50.622,27.8,87.82000000000001,45.212,123.38000000000002,2.506326,67.0,12.0,73.0,49.6,146.1,3.30164
loss,35.6,43.6,103.6,45.8,142.98,2.145938,62.2,27.4,125.8,46.8,129.21999999999997,2.34154
loss,53.044000000000004,35.8,125.24000000000001,50.424,92.66,2.4212,67.8,18.0,142.6,49.8,133.56,2.3386699999999996
loss,68.6,10.8,64.6,47.2,161.60000000000002,2.472076,51.622,5.0,108.62,46.612,108.0,2.07862
loss,49.4,81.0,112.2,52.0,143.36,3.2476600000000007,72.2,17.6,66.0,52.6,144.24,2.30192
win,65.6,62.4,122.0,56.4,150.22,2.6078699999999997,61.0,38.4,62.0,58.2,129.12,2.936312
loss,48.2,26.2,101.6,53.2,139.0,2.33664,56.8,14.6,88.6,51.6,149.78,2.39112
win,75.4,6.4,50.0,46.2,148.56,2.5355800000000004,52.6,40.4,200.0,52.0,150.5,2.4988060000000005
win,54.4,18.0,214.8,55.6,138.34,2.9803800000000003,35.2,15.6,115.4,47.6,150.78,1.98502
loss,23.4,12.0,84.2,46.0,131.28,1.6115400000000002,74.6,13.2,164.8,51.0,148.28,2.946446
loss,49.86600000000001,9.2,114.26000000000002,46.836,63.9,2.67978,59.4,9.6,145.6,46.2,148.98,2.8741999999999996
loss,43.4,19.4,66.4,46.812,134.11999999999998,2.1788800000000004,48.4,34.2,137.8,48.0,158.28,2.15356
loss,51.8,67.0,204.4,51.2,129.56,2.2201,61.2,37.8,117.0,48.2,142.64000000000001,2.96014
loss,40.4,37.2,107.8,42.4,143.68,2.56514,62.6,21.0,136.8,48.2,138.78,2.20984
win,61.022000000000006,14.8,146.62,55.212,120.58000000000001,2.7912,50.8,41.6,176.2,51.0,125.5,2.52398
loss,53.622,8.4,55.82000000000001,42.012,127.58,1.87616,64.422,14.0,110.82000000000001,48.212,120.94000000000001,2.6856300000000006
loss,26.222,2.4,139.22,47.212,116.84,1.7875599999999998,54.0,46.8,193.2,49.0,132.14000000000001,2.513702
win,82.4,8.8,34.6,58.4,128.16,4.901050000000001,39.8,5.6,142.4,44.6,117.2,2.30138
loss,38.422000000000004,42.4,172.62,52.012,117.81999999999998,2.03986,62.2,16.0,42.6,49.412,151.5,2.8635399999999995
loss,45.0,19.2,74.6,51.2,134.38,2.47164,90.6,4.4,151.6,51.612,161.92000000000002,4.42192
win,60.8,19.6,88.0,51.0,164.8,3.148902,40.622,4.2,48.82,51.412,100.74,2.125132
win,84.6,6.0,77.8,49.8,143.34,3.397224,36.8,20.6,159.2,52.4,152.06,2.5586
loss,42.4,17.6,53.4,53.8,144.54000000000002,2.13082,54.2,13.2,126.8,56.6,143.24,2.98098
win,41.422000000000004,12.4,102.02000000000001,53.012,108.92,2.32239,52.422000000000004,20.8,110.22,51.812,101.60000000000001,2.53778
loss,42.8,12.4,51.4,47.812,144.26,3.135248,77.4,9.0,84.4,54.6,159.64000000000001,3.37793
win,60.2,15.6,51.0,47.6,165.12000000000003,2.43886,25.6,7.6,53.4,39.6,134.98000000000002,1.6605
loss,62.0,16.8,141.2,54.6,153.60000000000002,2.5180279999999997,62.2,43.0,147.4,48.8,170.42000000000002,2.5424599999999997
loss,42.4,9.6,66.2,53.8,130.74,2.497904,67.422,11.4,110.02000000000001,47.812,102.1,2.615812
loss,53.8,6.6,67.0,54.8,137.88000000000002,2.8199599999999996,66.6,43.4,139.8,48.6,120.38,2.62222
loss,53.6,23.6,93.6,48.4,127.46,2.4316400000000002,77.6,28.0,134.2,46.4,165.21999999999997,2.8327600000000004
loss,32.8,31.2,120.8,45.0,133.44,2.00378,57.0,55.0,190.2,50.2,148.9,2.83957
loss,64.022,5.0,95.22,48.412,108.4,3.8274,60.0,27.4,125.6,47.612,164.71999999999997,2.6021600000000005
win,53.6,42.6,78.8,50.2,116.3,2.59632,52.8,20.8,102.0,51.2,116.64000000000001,2.82318
win,58.6,61.6,91.0,49.0,158.98,5.19442,50.6,15.6,168.4,46.6,125.51999999999998,2.24056
