Win.Loss,Player1.name,Player1.champ.name,Player1.overall.wr,Player1.total.games,Player1.champ.games,Player1.champ.wr,Player1.cs,Player1.mastery,Player2.name,Player2.champ.name,Player2.overall.wr,Player2.total.games,Player2.champ.games,Player2.champ.wr,Player2.cs,Player2.mastery,Player3.name,Player3.champ.name,Player3.overall.wr,Player3.total.games,Player3.champ.games,Player3.champ.wr,Player3.cs,Player3.mastery,Player4.name,Player4.champ.name,Player4.overall.wr,Player4.total.games,Player4.champ.games,Player4.champ.wr,Player4.cs,Player4.mastery,Player5.name,Player5.champ.name,Player5.overall.wr,Player5.total.games,Player5.champ.games,Player5.champ.wr,Player5.cs,Player5.mastery,Player6.name,Player6.champ.name,Player6.overall.wr,Player6.total.games,Player6.champ.games,Player6.champ.wr,Player6.cs,Player6.mastery,Player7.name,Player7.champ.name,Player7.overall.wr,Player7.total.games,Player7.champ.games,Player7.champ.wr,Player7.cs,Player7.mastery,Player8.name,Player8.champ.name,Player8.overall.wr,Player8.total.games,Player8.champ.games,Player8.champ.wr,Player8.cs,Player8.mastery,Player9.name,Player9.champ.name,Player9.overall.wr,Player9.total.games,Player9.champ.games,Player9.champ.wr,Player9.cs,Player9.mastery,Player10.name,Player10.champ.name,Player10.overall.wr,Player10.total.games,Player10.champ.games,Player10.champ.wr,Player10.cs,Player10.mastery,Player1.kda,Player2.kda,Player3.kda,Player4.kda,Player5.kda,Player6.kda,Player7.kda,Player8.kda,Player9.kda,Player10.kda
win,Obitömmy,jarvaniv,20,20,1,100,219,18497,LilStormK,wukong,25,12,1,100,212,78223,Chove,akali,39,59,23,65,220.4,347106,BLOCKY PANDA,kalista,58,130,1,100,268,12516,killerDrake06,rell,60,35,49,55,27.2,31955,TremayneMJB,blitzcrank,52,205,1,100,28,2586,100 shooters,lucian,50,104,3,0,176.3,1039,05 29 2000,renata,50.06,143.10,0,51.11,0,0,AB Shiesty,nidalee,48,145,1,0,134,84915,Madarammo ,zed,60,55,20,65,211.6,265772,2.4410,1.73100,3.97110,2.42140,2.2815,5.0010,2.38103,2.60,1.0040,2.0687
loss,Pineappule,volibear,76,17,1,0,210,300,Y1nZZ,xinzhao,53,118,22,55,185.8,136383,LorraineuRwC,syndra,53,45,27,59,189,17863,Galakkaith,vayne,50,68,7,71,185,29437,Razzle D Dazzle,lulu,52,205,72,58,13.5,131718,zKillua,urgot,51,265,11,55,215.9,221114,CAFE23,nidalee,55,67,6,50,159,27649,Booty Snatcher,naafiri,46,113,23,61,158.3,19882,1BigHatLogan1,ezreal,70,40,2,100,190.5,1862,feedmericeplz,blitzcrank,52,281,11,73,29.5,42778,0.6710,3.2885,1.5162,1.66103,2.6217,2.3666,2.9648,2.7688,4.3380,2.0915
win,iDevoureBabies,gangplank,48,111,56,55,234.6,58240,Your ƒish,lillia,50,102,6,50,226,7386,Sara Bear,malzahar,47,316,115,52,209.2,127592,You Þiece,ezreal,63,16,1,100,188,30003,Conqueror Of Cüm,nautilus,57,14,8,75,44.1,100806,FeedYourMag,gnar,50,58,2,50,236,7643,Mommy Ambi,garen,50,201,4,50,218.5,2616,8Bit Carnage,vex,50,117,2,0,192,8593,Mr Postivity,missfortune,46,46,1,0,274,42793,Ashtoum,orianna,53,283,280,52,46.6,472649,2.34131,2.78105,2.6449,3.00130,2.9838,2.62165,3.71115,1.7345,2.0060,2.1929
win,GachaAddict727,gwen,26,19,12,50,181.3,165873,The Witness,trundle,42,138,51,45,170,1135355,eçhó,ekko,56,16,6,50,241.7,48440,Jhingle berry ,jhin,50,20,17,53,205.5,2346488,Twitter Fingers,morgana,48,137,24,46,44,438153,otac0,camille,48,359,25,44,184.8,20005,AgonizedLamb,leesin,50.06,143.10,0,51.11,0,0,Big Beanis,orianna,50,117,1,0,176,4590,Arialaan,ashe,43,120,1,0,168,7815,ZyelX,zyra,53,62,46,61,42.5,688416,1.6683,2.2145,3.68135,3.3775,2.6333,2.0458,2.60,5.3360,2.1150,2.0031
win,Shark3900,darius,88,8,6,83,216.8,489193,lexvi,evelynn,51,161,66,50,169.8,1139100,Sipaso,kaisa,51,186,23,57,223.8,45953,Erzie Werzie,annie,86,7,1,100,235,5770,campincarl86,rell,65,20,4,50,38,8020,cholster,fiora,47,77,2,0,246.5,67015,1001,graves,39,23,4,50,228.8,121453,IsMyTeamLegit,malzahar,49,212,12,67,243.1,18401,Patrick AI,twitch,68,38,15,67,168.7,9443,Nolanya,xerath,71,14,4,50,66.8,2046,3.84122,4.3186,3.1484,9.0,3.2525,0.8325,2.0535,2.7670,3.6189,3.7790
loss,AHonestUnicornDL,yone,52,262,148,55,190.5,143127,BadAssTexan,nidalee,57,28,1,0,103,6254,SneakyBeakyLike,zed,49,105,111,54,203.1,697988,Sabimaru,ezreal,60,77,4,50,193.3,68888,Liiz,soraka,42,71,20,40,10.1,273331,Flinnerr,darius,52,225,32,66,193.4,290253,rybuddy0001,lillia,53,73,14,64,203.4,21690,Hanni Diff,yasuo,52,409,220,57,193.9,580519,gligligli,lucian,54,167,14,64,201.8,9433,DogeCoinUP,senna,59,114,91,65,26.2,108596,1.7958,1.2940,3.65130,3.2948,3.0805,2.7296,2.3884,1.9083,2.6291,4.2744
win,weedisop,gragas,50,32,8,50,195.1,31230,Arade,kayn,50,6,1,100,213,132027,Esma,malzahar,42,31,4,75,211.5,14642,onzwtzt,ezreal,62,26,8,63,204.5,4851,uh rick,rell,52,56,10,60,37.7,8845,RainbowParrot,renekton,41,66,1,0,235,450670,DontTypePlzz,fiddlesticks,48,120,3,33,161.7,62660,Matsuo,morgana,41,66,1,0,197,158740,Ezreal Diff,jinx,54,72,2,50,209,13774,padromi,pantheon,45,119,10,70,45.5,253029,2.5449,1.36120,3.0075,3.95109,3.4623,4.4090,3.0037,4.5080,1.8180,3.1941
win,Acxel,irelia,48,40,35,46,211.5,93696,BennyGee,kayn,51,292,30,43,155.7,161980,Alfred Davis,qiyana,70,10,3,67,175,1806,Hans Wilsdorf,twitch,70,10,6,67,149.5,3395,Best Akalí NA,thresh,65,93,84,67,35.1,249959,nostaIgia ULTRA,yasuo,45,157,141,44,204.6,159441,R Y V I G K U,nunu,50.06,143.10,0,51.11,0,0,alphatren,orianna,57,187,37,54,153.8,27965,Boobang520,samira,49,171,5,60,167.4,4019,Chappies,bard,50,394,115,48,74.7,102380,2.3461,2.8963,2.5060,7.21112,2.8530,1.9858,2.60,2.8449,2.4194,3.5141
win,GEODENDAG,chogath,51,297,24,38,164.1,24931,Pepega Rush,viego,51,289,7,57,142.3,8475,justaSandwich,zed,29,7,9,44,212.9,565840,Nekarof,ashe,54,193,38,47,178.3,61656,BlueFireRhino,ekko,44,165,32,53,55,50666,Keeper919,pantheon,51,176,1,0,121,6967,Ailinger,hecarim,48,96,3,0,182.7,1226,Spangbeeb,akshan,51,490,223,53,174.7,135304,Aragaki Yui 1,ezreal,50,123,32,56,178.1,145631,SwissCakeRoll8,zyra,48,122,108,49,37.3,1134044,1.9953,1.7859,2.1277,2.4362,1.6836,0.7830,1.5047,2.6775,2.8957,2.3830
win,madslip,heimerdinger,47,139,6,83,112.3,8082,Yeetothehaw,sylas,51,68,2,100,199.5,9446,WinyHawk287,vex,47,217,184,51,169.4,392479,Seabass09014,samira,58,115,64,61,183.1,503698,schizo yuumi,alistar,59,68,35,63,36.6,43565,Chapakiwi,yasuo,50,557,26,50,200.4,34089,Havoke,nocturne,52,475,39,54,178.6,133733,Hypej,veigar,55,233,20,60,166,67066,SoPissed,kaisa,49,293,24,54,197.7,258969,11RectalLeakage,zyra,52,23,3,33,37.7,3520,1.6967,3.13140,2.8171,2.1896,3.5115,1.2857,2.5484,2.6082,2.7383,1.9020
loss,InspiredFanboy69,tahmkench,53,49,1,0,148,14951,MsHyeri,briar,51,351,17,24,167,6495,IDontInt,jayce,51,463,8,25,210,25644,mint mawile,jinx,44,88,11,55,160.7,132452,shannondorf,nami,51,63,10,30,15.6,1675021,Breezy JK,mordekaiser,55,73,3,67,178,50419,Shere Khàn,rengar,52,160,49,53,192.6,528498,NotLeavai,yasuo,52,176,34,53,237.7,510804,JlzzedMyPants,kaisa,57,35,23,65,214,186031,Zodiac859,senna,51,113,71,56,26.6,197090,0.8930,1.3265,3.00101,1.9659,3.0213,3.7060,3.00103,1.7177,3.0087,2.8837
