Win.Loss,Player1.name,Player1.champ.name,Player1.overall.wr,Player1.total.games,Player1.champ.games,Player1.champ.wr,Player1.cs,Player1.mastery,Player2.name,Player2.champ.name,Player2.overall.wr,Player2.total.games,Player2.champ.games,Player2.champ.wr,Player2.cs,Player2.mastery,Player3.name,Player3.champ.name,Player3.overall.wr,Player3.total.games,Player3.champ.games,Player3.champ.wr,Player3.cs,Player3.mastery,Player4.name,Player4.champ.name,Player4.overall.wr,Player4.total.games,Player4.champ.games,Player4.champ.wr,Player4.cs,Player4.mastery,Player5.name,Player5.champ.name,Player5.overall.wr,Player5.total.games,Player5.champ.games,Player5.champ.wr,Player5.cs,Player5.mastery,Player6.name,Player6.champ.name,Player6.overall.wr,Player6.total.games,Player6.champ.games,Player6.champ.wr,Player6.cs,Player6.mastery,Player7.name,Player7.champ.name,Player7.overall.wr,Player7.total.games,Player7.champ.games,Player7.champ.wr,Player7.cs,Player7.mastery,Player8.name,Player8.champ.name,Player8.overall.wr,Player8.total.games,Player8.champ.games,Player8.champ.wr,Player8.cs,Player8.mastery,Player9.name,Player9.champ.name,Player9.overall.wr,Player9.total.games,Player9.champ.games,Player9.champ.wr,Player9.cs,Player9.mastery,Player10.name,Player10.champ.name,Player10.overall.wr,Player10.total.games,Player10.champ.games,Player10.champ.wr,Player10.cs,Player10.mastery,Player1.kda,Player2.kda,Player3.kda,Player4.kda,Player5.kda,Player6.kda,Player7.kda,Player8.kda,Player9.kda,Player10.kda
loss,face down a22 up,mordekaiser,38,8,1,0,173,21822,atcomeback,shen,48,574,10,30,163,65830,thebest24211,pantheon,49,362,296,50,142.9,762599,Im JustinTV,jhin,42,19,6,17,134.3,1420,Captain Kirk927,pyke,50.72,0,2,50,36.5,52774,kuram01,nasus,41,87,19,32,180.3,169405,MarkLovesTwix,diana,57,211,48,63,194,161767,Flame Alchemist1,taliyah,68,34,8,88,229,40698,Hi Its Terumi ,xayah,49,154,11,55,182.1,111332,blackpizza,caitlyn,47,297,26,42,157.7,14656,0.7850,2.0444,2.2172,1.79102,1.1355,1.6736,2.3395,3.3785,3.4475,1.6867
loss,Kazanan,renekton,50,218,231,50,174.6,807881,TD Senpai,trundle,52,66,9,56,180.7,111680,LetsWetSomeMen,orianna,50,34,16,44,208.4,11218,vaqpvldt,sivir,14,7,1,0,143,1149,ZDoc,heimerdinger,51,87,82,52,51.9,66545,Monkeenutzz,garen,44,225,7,57,176.6,8259,Smartest Brain,olaf,48,627,24,63,181.6,982599,Fenri,syndra,57,125,78,63,145.1,101760,Madorbaul,wukong,49,265,262,50,138.1,2613682,Riot Always0nT0P,seraphine,50,86,9,67,35.3,44163,2.1857,2.8669,4.9739,0.2500,2.2030,1.3331,3.5276,2.8577,2.3592,4.3423
win,p8107,jax,50,118,11,46,209.5,20753,Thelastvirus,masteryi,52,156,133,51,202.9,2175922,h0tHeaded,rumble,50,179,118,53,150.8,925165,Nakzy,draven,45,40,31,52,172.6,29102,legacy of fusion,swain,51,94,13,85,48,89008,xnzjyd,darius,41,109,4,0,232.5,149078,Mechanized Lemon,belveth,49,152,12,58,160.5,15585,Nenitanicky,soraka,49,345,82,61,29.3,265118,AzurePh0enix,seraphine,49,69,9,44,190.8,32445,Romes World,sona,50,156,33,55,15.3,183503,2.7784,2.7575,2.6964,1.9280,2.5452,1.1450,3.9056,2.8110,3.3467,4.0127
loss,Aaron Omnimid,volibear,51,35,5,60,139.6,14007,NFG Coyote,sylas,50,264,96,53,164.6,220560,Fraverestel,katarina,50.72,139.16,0,51.75,0,0,LeSadf,caitlyn,50,60,6,50,202.3,203685,remiiq,nami,52,90,18,56,7.9,239208,DirbyDirr,illaoi,52,198,93,57,221.2,302315,TheHi1ghwayman,ekko,57,82,1,0,206,149200,Endspire,shen,50.72,139.16,0,51.75,0,0,PuddinPopDanny,lucian,51,168,83,59,198.7,780076,canucks25,shaco,53,116,2,100,45.5,3188,2.3078,2.5498,2.64,2.0750,3.4218,1.5048,2.1070,2.64,2.7079,2.3860
loss,Scotty Blues,sion,48,80,40,55,243.6,25169,I am The Amazing,vi,54,248,146,55,152,1001881,Oh Rell,qiyana,50,8,4,75,112.8,453846,WTJ Steak,caitlyn,38,13,4,25,141.3,9116,Glerkie,seraphine,52,249,44,41,73.5,338338,Doltair ,gangplank,51,180,113,55,202,329982,SaberOutrun,mordekaiser,56,103,94,61,153.5,291089,lick my lulu,ekko,51,177,62,45,149.4,79884,Ravaldy,varus,48,161,57,53,182.3,1005828,Megalewis,blitzcrank,55,132,19,37,36.7,56697,1.0147,1.8885,3.4078,0.5218,3.1529,2.2296,3.8872,2.1677,2.4588,2.4915
loss,Feed and afk plz,yorick,53,218,20,35,202.4,11863,6Cybernetics,masteryi,48,48,1,0,241,6161,Top Lane Moron,renekton,29,7,7,14,181.3,2420,Rag3Kidd Zero,brand,50,252,13,54,201.8,41179,L3gacy17,pyke,50,181,4,75,54.8,76433,SamTheSquidMan,tahmkench,54,70,49,61,169.2,795978,ŁÖVË,briar,49,289,4,75,172.8,3108,Rashukikitu,katarina,41,32,26,46,188.7,15053,Neeto,ezreal,54,170,14,71,167.9,56481,minako moon,lillia,48,396,23,39,67.6,20738,1.0329,2.44140,0.9646,1.7543,2.5080,3.3362,1.90125,2.21114,4.0460,1.8874
loss,sspindiee,gnar,56,126,9,89,199.1,70702,juicewrldfrvr,nunu,50.72,139.16,0,51.75,0,0,Riedavina,fizz,50.72,0,2,0,165,770,Gulpium,yasuo,38,16,22,46,176.4,6959,BluePandacorn27,rell,61,31,10,80,29.4,75244,Tøska,lillia,52,311,7,43,142.7,2923,Varus Corruption,elise,52,310,138,52,147,1511021,lilpedro123,vladimir,53,109,1,100,188,16241,Anivia or Ryze ,kalista,51,92,6,33,117.3,10546,Nikohoshi,lux,56,32,8,75,58.6,30495,2.8052,2.64,1.4765,2.3192,3.3814,1.4851,2.0391,4.13160,1.2940,3.4264
win,LYT LOVE LN,malphite,51,312,36,64,144.1,53828,LuckyJ,nocturne,52,165,2,100,286.5,10304,ScaryPancakes,ziggs,48,87,2,50,136.5,33441,Roachkunn,caitlyn,49,43,29,52,172.4,75021,IMMAGONNADIE,lux,50,10,2,50,52.5,133316,Percocet Inhaler,aatrox,45,143,10,50,217.2,13568,IRLYujiroHanma,warwick,41,74,18,44,156.2,9518,CrazyJaw,aurelionsol,48,278,168,52,172.4,515476,YourOnlyFan21,ashe,38,8,4,75,163.5,196257,lainetus,karma,68,62,4,50,25,3560,2.0952,3.37170,1.2525,3.0870,3.6585,2.0872,1.6562,2.3681,2.2488,4.8143
win,BlazingDgom,camille,49,281,13,39,197.2,52842,unknown781,viego,61,104,2,50,147,119797,CoheePanchPanch,heimerdinger,48,252,25,44,131.5,288073,Flash on U,samira,86,22,4,75,179,6138,JDW,thresh,40,47,3,67,43.3,19013,Always Handsome,yone,49,263,24,54,181.4,53343,Im Mar,diana,49,309,5,40,205.4,194147,Papí Corn,aurelionsol,52,192,2,0,138.5,10311,Révolutiøn,ezreal,54,245,5,60,214.8,17016,Zorgnoir,senna,52,260,173,56,48,145561,1.0956,2.1400,1.9342,4.00165,2.8720,1.2441,2.4782,1.0920,3.7162,2.9351
win,vinnymyster,nocturne,52,63,64,56,162.5,180442,Pheorisen,morgana,55,11,4,50,23.5,404539,Noonifer,vayne,63,8,2,100,181,127688,La1n,sion,45,53,21,48,248.1,33530,Zackdragon42,syndra,50,76,2,100,174,2320,puda,darius,51,87,5,60,167,34773,Shuuari,sylas,40,15,7,29,137.7,4444,MoonlightSunrise,lucian,50.72,139.16,0,51.75,0,0,Ben Burner,pantheon,33,6,1,0,69,84635,lwabbitl,briar,27,11,1,0,208,237,2.8590,2.2115,2.36115,1.0833,2.6060,1.9638,2.51100,2.64,2.0060,2.10130
